0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225
1121.0,347.0,566.0,2106.0,556.0,2317.0,321.0,1804.0,4026.0,1243.0,1989.0,688.0,1493.0,1989.0,214.0,905.0,725.0,2213.0,1189.0,2985.0,292.0,3588.0,99.0,5594.0,1360.0,4700.0,1468.0,1256.0,2564.0,417.0,1129.0,1523.0,964.0,920.0,4555.0,556.0,4044.0,2544.0,4070.0,758.0,2880.0,1211.0,2231.0,1298.0,4891.0,1467.0,4827.0,1693.0,1763.0,1803.0,1753.0,459.0,7473.0,2869.0,2667.0,2012.0,2302.0,935.0,4735.0,221.0,4860.0,829.0,3215.0,308.0,2947.0,696.0,2312.0,5739.0,1874.0,1176.0,1066.0,2924.0,1178.0,2467.0,999.0,1929.0,456.0,3377.0,2905.0,1270.0,1317.0,817.0,1112.0,2414.0,503.0,2884.0,2576.0,2219.0,3554.0,1951.0,1028.0,1056.0,3665.0,331.0,2801.0,2049.0,1540.0,1033.0,1499.0,1067.0,699.0,1226.0,584.0,1012.0,748.0,1979.0,1483.0,586.0,174.0,1465.0,495.0,221.0,74.0,82.0,93.0,72.0,70.0,62.0,105.0,3478.0,37.0,11.0,23.0,48.0,81.0,32.0,73.0,44.0,122.0,78.0,71.0,68.0,69.0,71.0,53.0,76.0,42.0,81.0,49.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654.0,1044.0,516.0,1244.0,981.0,2173.0,432.0,1405.0,2822.0,2633.0,2624.0,1038.0,2070.0,165.0,1562.0,1308.0,2530.0,1348.0,1273.0,650.0,2544.0,2084.0,2018.0,953.0,2244.0,1456.0,4852.0,1523.0,3147.0,1603.0,1552.0,4536.0,2469.0,664.0,2430.0,377.0,5532.0,819.0,3201.0,412.0,1539.0,2029.0,3541.0,587.0,2973.0,4338.0,375.0,2228.0,1179.0,1297.0,642.0,1765.0,1696.0,828.0,2946.0,1038.0,805.0,1742.0,299.0,1684.0,1393.0,2622.0,939.0,1795.0,2370.0,817.0,1982.0,1011.0,1063.0,2529.0,5792.0,883.0,3292.0,729.0,1077.0,776.0,3561.0,376.0,2614.0,3222.0,531.0,906.0,953.0,2342.0,1472.0,501.0,1817.0,1072.0,1363.0,628.0,1671.0,269.0,800.0,317.0,874.0,202.0,132.0,34.0,88.0,48.0,47.0,72.0,67.0,112.0,58.0,198.0,131.0,81.0,313.0,98.0,42.0,87.0,53.0,76.0,61.0,68.0,56.0,69.0,73.0,48.0,80.0,51.0,83.0,29.0,83.0,30.0,86.0,47.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264.0,911.0,567.0,887.0,619.0,913.0,944.0,584.0,2973.0,1357.0,2064.0,417.0,673.0,1403.0,103.0,2468.0,3477.0,2433.0,434.0,822.0,719.0,1745.0,917.0,940.0,1320.0,1487.0,1241.0,4025.0,619.0,2559.0,1117.0,662.0,1147.0,1018.0,2893.0,870.0,3650.0,542.0,2622.0,1675.0,1399.0,1493.0,2300.0,1977.0,428.0,1128.0,1216.0,2008.0,1168.0,2458.0,4069.0,1641.0,1445.0,2886.0,2718.0,865.0,1495.0,3784.0,2444.0,1277.0,736.0,2645.0,1645.0,1718.0,577.0,1130.0,1588.0,1297.0,3014.0,674.0,4053.0,3631.0,763.0,1385.0,2937.0,1371.0,2402.0,1496.0,1673.0,1497.0,355.0,3417.0,1919.0,821.0,1611.0,1196.0,1130.0,1110.0,506.0,889.0,1100.0,618.0,1304.0,434.0,504.0,306.0,128.0,143.0,47.0,74.0,39.0,93.0,42.0,58.0,73.0,55.0,75.0,58.0,70.0,74.0,104.0,46.0,79.0,30.0,59.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647.0,73.0,909.0,571.0,1462.0,1085.0,2711.0,1202.0,1369.0,760.0,3527.0,819.0,810.0,1995.0,998.0,5316.0,251.0,2462.0,351.0,1083.0,1098.0,782.0,698.0,1091.0,722.0,3253.0,1751.0,1192.0,454.0,806.0,4485.0,664.0,2667.0,2027.0,1918.0,2628.0,1871.0,2524.0,1613.0,717.0,2266.0,1324.0,2496.0,1431.0,1734.0,2908.0,1138.0,864.0,3429.0,1687.0,1093.0,1345.0,618.0,2966.0,1775.0,1041.0,1216.0,4848.0,419.0,1708.0,1939.0,434.0,3363.0,693.0,850.0,939.0,1083.0,1806.0,2822.0,2433.0,1033.0,5045.0,1378.0,4162.0,1934.0,693.0,915.0,3693.0,351.0,3093.0,459.0,1476.0,2559.0,1818.0,563.0,883.0,1383.0,2068.0,1261.0,1363.0,750.0,1433.0,3575.0,1231.0,1127.0,2471.0,794.0,1981.0,1343.0,2264.0,1901.0,1669.0,923.0,1018.0,628.0,629.0,321.0,736.0,123.0,66.0,116.0,327.0,81.0,324.0,36.0,91.0,96.0,84.0,135.0,77.0,125.0,79.0,184.0,56.0,95.0,31.0,119.0,35.0,71.0,46.0,74.0,61.0,64.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272.0,285.0,686.0,261.0,1550.0,644.0,1067.0,450.0,2279.0,478.0,1148.0,3872.0,862.0,2653.0,3774.0,358.0,2043.0,639.0,740.0,1524.0,1022.0,1483.0,3853.0,3111.0,1266.0,1480.0,1084.0,1637.0,1678.0,1078.0,2852.0,1900.0,3708.0,656.0,1644.0,663.0,782.0,3695.0,1831.0,2711.0,775.0,1140.0,1033.0,1068.0,1683.0,1437.0,2883.0,1132.0,1453.0,833.0,1986.0,879.0,1293.0,1131.0,605.0,548.0,2640.0,906.0,654.0,2261.0,1216.0,1032.0,537.0,1342.0,2488.0,709.0,1316.0,914.0,1440.0,1262.0,837.0,1465.0,2530.0,747.0,2547.0,391.0,1028.0,921.0,933.0,524.0,1010.0,2227.0,2650.0,725.0,776.0,1211.0,2027.0,1120.0,451.0,4146.0,1426.0,3181.0,2319.0,3055.0,1957.0,1584.0,912.0,441.0,1743.0,936.0,393.0,1317.0,836.0,321.0,421.0,117.0,49.0,83.0,49.0,111.0,44.0,79.0,66.0,97.0,69.0,68.0,89.0,65.0,92.0,50.0,85.0,31.0,87.0,34.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0,279.0,608.0,135.0,416.0,480.0,172.0,1762.0,393.0,737.0,482.0,375.0,1823.0,114.0,740.0,628.0,284.0,893.0,413.0,667.0,698.0,1091.0,1884.0,461.0,1689.0,447.0,329.0,1079.0,3634.0,1557.0,1730.0,1009.0,652.0,1366.0,176.0,3172.0,321.0,1332.0,1508.0,1524.0,478.0,1966.0,1640.0,822.0,2184.0,1020.0,2824.0,576.0,3049.0,835.0,2351.0,4388.0,1017.0,2998.0,867.0,3152.0,1778.0,1572.0,1162.0,702.0,1976.0,731.0,1581.0,521.0,3658.0,656.0,1686.0,733.0,926.0,5405.0,983.0,2216.0,1938.0,602.0,458.0,3850.0,1801.0,1573.0,1985.0,2863.0,1764.0,1094.0,908.0,2075.0,1393.0,3339.0,966.0,2054.0,911.0,1006.0,2239.0,302.0,2966.0,1971.0,929.0,530.0,2410.0,179.0,1553.0,1755.0,1173.0,538.0,3181.0,1268.0,555.0,533.0,1413.0,501.0,375.0,686.0,1355.0,737.0,111.0,311.0,280.0,149.0,117.0,99.0,67.0,61.0,83.0,37.0,104.0,56.0,119.0,31.0,97.0,39.0,88.0,45.0,104.0,99.0,117.0,68.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338.0,173.0,152.0,197.0,174.0,172.0,141.0,1897.0,904.0,268.0,226.0,703.0,95.0,276.0,1651.0,980.0,743.0,282.0,364.0,122.0,246.0,197.0,599.0,207.0,3197.0,988.0,1810.0,2145.0,1777.0,414.0,235.0,1413.0,776.0,6925.0,2590.0,1615.0,243.0,4096.0,882.0,832.0,1238.0,611.0,2983.0,935.0,2050.0,1177.0,599.0,1581.0,200.0,859.0,1782.0,360.0,894.0,311.0,2343.0,1133.0,863.0,1018.0,837.0,477.0,667.0,1047.0,377.0,1716.0,755.0,964.0,954.0,1462.0,572.0,885.0,413.0,2945.0,756.0,1167.0,1380.0,285.0,2033.0,384.0,623.0,538.0,279.0,2542.0,1239.0,530.0,297.0,2012.0,608.0,848.0,555.0,347.0,265.0,1027.0,479.0,614.0,1471.0,248.0,966.0,109.0,1688.0,886.0,1285.0,973.0,422.0,644.0,511.0,281.0,244.0,882.0,106.0,493.0,501.0,382.0,599.0,1075.0,1292.0,1404.0,1103.0,2651.0,1392.0,729.0,663.0,1839.0,430.0,997.0,384.0,587.0,2390.0,945.0,2221.0,722.0,937.0,589.0,606.0,508.0,878.0,2174.0,147.0,1011.0,442.0,262.0,90.0,49.0,112.0,60.0,95.0,38.0,149.0,53.0,120.0,61.0,69.0,51.0,84.0,74.0,72.0,79.0,61.0,70.0,54.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297.0,1341.0,132.0,391.0,331.0,721.0,471.0,904.0,408.0,668.0,182.0,692.0,148.0,502.0,293.0,975.0,443.0,996.0,1158.0,841.0,598.0,648.0,597.0,206.0,2565.0,476.0,1336.0,474.0,630.0,734.0,1240.0,970.0,1047.0,455.0,333.0,155.0,1288.0,1218.0,1090.0,689.0,761.0,2816.0,1116.0,2280.0,501.0,1341.0,366.0,681.0,185.0,1137.0,352.0,1148.0,103.0,1244.0,1416.0,509.0,1408.0,472.0,467.0,607.0,1078.0,246.0,1644.0,387.0,2582.0,727.0,870.0,1010.0,541.0,1314.0,1870.0,878.0,1187.0,677.0,454.0,1272.0,550.0,1553.0,701.0,2386.0,885.0,1256.0,932.0,712.0,1113.0,2564.0,2051.0,1420.0,374.0,269.0,1763.0,931.0,1132.0,1520.0,986.0,1768.0,617.0,469.0,2435.0,774.0,3230.0,225.0,809.0,1235.0,1839.0,757.0,3220.0,1072.0,3170.0,397.0,1165.0,647.0,443.0,420.0,1008.0,1789.0,1908.0,490.0,322.0,2701.0,768.0,892.0,265.0,81.0,117.0,54.0,114.0,53.0,108.0,86.0,216.0,281.0,180.0,138.0,439.0,84.0,56.0,72.0,118.0,132.0,39.0,87.0,40.0,88.0,38.0,92.0,69.0,108.0,71.0,82.0,59.0,85.0,73.0,53.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409.0,305.0,299.0,1002.0,324.0,1090.0,100.0,736.0,1380.0,510.0,2903.0,446.0,1795.0,1694.0,715.0,1903.0,1393.0,860.0,400.0,1276.0,994.0,1357.0,1378.0,709.0,2325.0,1377.0,2054.0,507.0,981.0,1371.0,584.0,1385.0,633.0,4049.0,2628.0,769.0,517.0,1017.0,330.0,1955.0,907.0,2833.0,581.0,1284.0,650.0,682.0,166.0,1608.0,1662.0,2970.0,472.0,1184.0,757.0,961.0,2177.0,2071.0,669.0,921.0,636.0,429.0,1986.0,1118.0,1549.0,1805.0,1639.0,555.0,1648.0,486.0,1538.0,440.0,1004.0,1322.0,2354.0,1995.0,1673.0,1026.0,539.0,784.0,841.0,866.0,551.0,1992.0,705.0,608.0,1655.0,659.0,1222.0,298.0,1136.0,1755.0,3188.0,894.0,809.0,512.0,640.0,2288.0,1535.0,1953.0,486.0,924.0,2043.0,170.0,391.0,756.0,938.0,474.0,1468.0,266.0,2017.0,853.0,1645.0,552.0,1082.0,381.0,79.0,714.0,318.0,215.0,144.0,74.0,97.0,110.0,190.0,235.0,826.0,246.0,510.0,39.0,56.0,177.0,113.0,64.0,99.0,66.0,76.0,76.0,68.0,84.0,76.0,68.0,142.0,91.0,217.0,196.0,248.0,293.0,93.0,152.0,78.0,109.0,61.0,66.0,66.0,59.0,74.0,110.0,153.0,158.0,125.0,101.0,282.0,193.0,132.0,60.0,98.0,62.0,70.0,106.0,124.0,178.0,67.0,117.0,55.0,96.0,35.0,89.0,45.0,559.0,270.0,558.0,107.0,93.0,82.0,82.0,86.0,63.0,84.0,124.0,131.0,58.0,116.0,41.0,243.0,46.0,118.0,45.0,142.0,92.0,80.0,115.0,74.0,260.0,67.0,187.0,100.0,422.0,132.0,121.0,44.0,85.0,82.0,79.0,81.0,104.0,69.0,78.0,114.0,171.0,63.0,62.0,98.0,31.0,147.0,58.0,96.0,50.0
1005.0,256.0,1250.0,723.0,1010.0,1331.0,695.0,2926.0,117.0,2591.0,457.0,244.0,352.0,744.0,722.0,429.0,452.0,66.0,1462.0,317.0,1340.0,1142.0,2298.0,1221.0,1878.0,1886.0,251.0,940.0,340.0,1290.0,523.0,2262.0,395.0,1323.0,797.0,821.0,2449.0,767.0,888.0,819.0,1707.0,804.0,1401.0,104.0,1592.0,632.0,1324.0,1823.0,1818.0,1633.0,772.0,967.0,1955.0,1086.0,583.0,1108.0,753.0,892.0,1495.0,1099.0,214.0,875.0,1233.0,2174.0,1337.0,2754.0,528.0,846.0,942.0,186.0,1407.0,1073.0,1040.0,1210.0,1331.0,1567.0,1209.0,1616.0,1411.0,617.0,1493.0,803.0,819.0,919.0,866.0,786.0,1417.0,57.0,1527.0,443.0,2249.0,647.0,1114.0,862.0,1907.0,495.0,1096.0,1789.0,671.0,611.0,1763.0,623.0,911.0,1171.0,193.0,1898.0,129.0,545.0,293.0,927.0,142.0,599.0,718.0,214.0,422.0,122.0,111.0,172.0,61.0,90.0,81.0,110.0,40.0,86.0,40.0,99.0,50.0,80.0,70.0,84.0,59.0,78.0,162.0,98.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
