0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
310.0,280.0,42.0,445.0,430.0,2656.0,551.0,2378.0,1760.0,1293.0,1044.0,514.0,1512.0,495.0,647.0,1596.0,628.0,3411.0,320.0,671.0,862.0,767.0,1172.0,1426.0,1825.0,1255.0,1279.0,2377.0,1389.0,1622.0,2143.0,1549.0,2090.0,1541.0,820.0,1495.0,2593.0,2173.0,1424.0,2541.0,378.0,3332.0,444.0,2040.0,1414.0,805.0,1823.0,2189.0,972.0,2257.0,544.0,1051.0,1864.0,1552.0,3285.0,712.0,744.0,1597.0,1661.0,1679.0,2469.0,220.0,2498.0,128.0,2972.0,2190.0,2345.0,592.0,688.0,1689.0,529.0,1295.0,375.0,1616.0,1491.0,705.0,370.0,1192.0,220.0,246.0,67.0,126.0,59.0,105.0,111.0,70.0,103.0,62.0,148.0,39.0,171.0,48.0,185.0,74.0,141.0,48.0,153.0,54.0,117.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349.0,207.0,284.0,298.0,558.0,279.0,925.0,807.0,379.0,1834.0,840.0,1561.0,1228.0,201.0,1760.0,611.0,741.0,837.0,451.0,1805.0,1358.0,1243.0,2540.0,2581.0,954.0,788.0,420.0,560.0,3407.0,2216.0,738.0,2041.0,701.0,678.0,765.0,366.0,2442.0,1825.0,377.0,1804.0,3138.0,1325.0,4473.0,172.0,1665.0,372.0,1830.0,2941.0,438.0,3168.0,1996.0,869.0,349.0,1998.0,1716.0,2380.0,1222.0,589.0,3800.0,726.0,3991.0,280.0,3466.0,564.0,1392.0,1776.0,1955.0,1386.0,1314.0,5577.0,237.0,1606.0,2790.0,968.0,2271.0,1068.0,613.0,3058.0,1625.0,859.0,1281.0,756.0,1597.0,1004.0,793.0,1194.0,1456.0,2392.0,1372.0,840.0,1030.0,267.0,354.0,996.0,368.0,101.0,126.0,156.0,242.0,63.0,137.0,107.0,85.0,127.0,77.0,114.0,40.0,140.0,53.0,137.0,36.0,164.0,32.0,133.0,54.0,132.0,64.0,85.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,493.0,388.0,1277.0,585.0,1131.0,200.0,403.0,1295.0,416.0,680.0,3030.0,712.0,1119.0,565.0,989.0,1063.0,904.0,1152.0,136.0,917.0,1552.0,1509.0,1787.0,1619.0,454.0,399.0,345.0,1362.0,1246.0,232.0,4529.0,829.0,1301.0,1212.0,571.0,2416.0,189.0,1952.0,3294.0,2552.0,1652.0,974.0,1008.0,1781.0,1123.0,3101.0,729.0,2472.0,1680.0,1908.0,1069.0,3503.0,482.0,1385.0,2953.0,1921.0,1160.0,2002.0,645.0,1972.0,1433.0,1799.0,759.0,1018.0,608.0,2856.0,356.0,880.0,1943.0,1356.0,1857.0,2642.0,1021.0,997.0,1263.0,1932.0,1975.0,1646.0,1422.0,2114.0,741.0,1399.0,1188.0,812.0,840.0,3176.0,581.0,1987.0,1323.0,2072.0,577.0,866.0,1530.0,1102.0,1466.0,628.0,812.0,581.0,1152.0,368.0,682.0,372.0,311.0,79.0,156.0,56.0,113.0,91.0,95.0,128.0,79.0,122.0,36.0,139.0,37.0,157.0,36.0,176.0,34.0,147.0,86.0,132.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369.0,87.0,170.0,122.0,306.0,1807.0,123.0,360.0,2740.0,135.0,1688.0,949.0,1382.0,1625.0,539.0,1771.0,145.0,548.0,2742.0,1129.0,435.0,1550.0,325.0,1377.0,1010.0,183.0,1425.0,908.0,546.0,332.0,965.0,2830.0,2130.0,1260.0,280.0,1162.0,532.0,397.0,3710.0,871.0,2427.0,1681.0,3787.0,961.0,959.0,2550.0,228.0,3385.0,907.0,1813.0,348.0,1358.0,1324.0,704.0,764.0,918.0,761.0,2564.0,1079.0,2516.0,1387.0,388.0,1442.0,1023.0,1423.0,992.0,3572.0,334.0,1614.0,868.0,1110.0,715.0,3363.0,1670.0,2261.0,1186.0,891.0,2789.0,1821.0,809.0,1351.0,524.0,1999.0,1031.0,771.0,1151.0,736.0,616.0,564.0,1708.0,849.0,1270.0,2291.0,246.0,629.0,718.0,1229.0,801.0,1728.0,306.0,1686.0,557.0,1010.0,598.0,568.0,2314.0,733.0,479.0,193.0,172.0,38.0,123.0,80.0,131.0,101.0,98.0,113.0,79.0,113.0,48.0,144.0,41.0,158.0,55.0,133.0,58.0,154.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289.0,54.0,220.0,251.0,174.0,79.0,181.0,92.0,527.0,132.0,191.0,578.0,226.0,754.0,89.0,2177.0,480.0,832.0,1025.0,257.0,865.0,170.0,725.0,1125.0,666.0,2468.0,317.0,1309.0,1084.0,570.0,576.0,2164.0,629.0,1147.0,710.0,569.0,698.0,458.0,1799.0,462.0,3359.0,198.0,1749.0,194.0,462.0,442.0,761.0,405.0,2267.0,502.0,616.0,1241.0,465.0,602.0,860.0,610.0,675.0,1286.0,1603.0,908.0,481.0,2362.0,469.0,1102.0,443.0,1584.0,352.0,470.0,717.0,1313.0,1159.0,982.0,545.0,395.0,448.0,462.0,468.0,2158.0,1413.0,2227.0,367.0,1151.0,898.0,996.0,573.0,1371.0,1073.0,2433.0,1548.0,785.0,742.0,541.0,1340.0,808.0,1917.0,1473.0,1918.0,457.0,824.0,888.0,349.0,1852.0,897.0,441.0,1398.0,1588.0,879.0,622.0,401.0,140.0,475.0,275.0,58.0,149.0,70.0,118.0,79.0,156.0,60.0,127.0,66.0,72.0,114.0,85.0,119.0,50.0,151.0,43.0,141.0,45.0,147.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292.0,180.0,443.0,957.0,409.0,421.0,345.0,531.0,1782.0,495.0,282.0,1012.0,288.0,670.0,770.0,628.0,318.0,521.0,333.0,892.0,360.0,674.0,387.0,345.0,713.0,405.0,1285.0,552.0,335.0,254.0,1668.0,293.0,1444.0,274.0,830.0,671.0,484.0,1054.0,1353.0,326.0,480.0,958.0,585.0,1112.0,661.0,1323.0,942.0,1824.0,1000.0,286.0,2456.0,475.0,1953.0,304.0,1289.0,1018.0,292.0,1351.0,965.0,619.0,1318.0,1375.0,484.0,910.0,3291.0,1576.0,553.0,498.0,331.0,556.0,874.0,348.0,2085.0,1416.0,580.0,595.0,1097.0,506.0,3092.0,166.0,1094.0,995.0,786.0,745.0,222.0,1221.0,222.0,2748.0,1465.0,746.0,377.0,654.0,402.0,1582.0,320.0,1154.0,704.0,526.0,624.0,361.0,561.0,376.0,484.0,1008.0,277.0,321.0,129.0,143.0,66.0,132.0,66.0,172.0,45.0,161.0,45.0,169.0,47.0,144.0,58.0,92.0,80.0,66.0,107.0,59.0,134.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626.0,269.0,774.0,615.0,682.0,442.0,646.0,1471.0,347.0,763.0,322.0,777.0,467.0,582.0,305.0,726.0,569.0,951.0,666.0,977.0,831.0,672.0,409.0,3181.0,326.0,906.0,870.0,612.0,1454.0,115.0,3155.0,1031.0,1401.0,848.0,2063.0,955.0,1173.0,765.0,1102.0,391.0,2239.0,793.0,2404.0,1599.0,853.0,1300.0,80.0,738.0,1261.0,2294.0,1068.0,1223.0,2308.0,1097.0,1635.0,1303.0,1579.0,2371.0,579.0,1398.0,383.0,1528.0,563.0,2617.0,308.0,1715.0,778.0,2888.0,1477.0,518.0,1741.0,694.0,1174.0,987.0,1213.0,1342.0,1940.0,737.0,1391.0,1497.0,434.0,1013.0,3118.0,1323.0,2254.0,1071.0,793.0,1334.0,1084.0,1409.0,751.0,912.0,415.0,1429.0,470.0,932.0,1689.0,448.0,460.0,311.0,112.0,293.0,164.0,106.0,174.0,92.0,144.0,47.0,157.0,99.0,118.0,68.0,175.0,49.0,300.0,49.0,102.0,69.0,106.0,80.0,60.0,115.0,55.0,105.0,55.0,146.0,41.0,141.0,61.0,133.0,45.0,141.0,53.0,99.0,327.0,78.0,354.0,56.0,126.0,26.0,238.0,36.0,286.0,68.0,171.0,48.0,149.0,60.0,103.0,86.0,105.0,93.0,83.0,136.0,125.0,181.0,72.0,149.0,36.0,159.0,52.0,139.0,65.0
531.0,364.0,517.0,1453.0,1932.0,1130.0,2514.0,472.0,3441.0,1468.0,3254.0,864.0,1929.0,769.0,854.0,1280.0,2186.0,435.0,693.0,1362.0,829.0,841.0,690.0,2844.0,401.0,1356.0,985.0,620.0,391.0,921.0,211.0,1491.0,1586.0,1474.0,2930.0,540.0,1418.0,1756.0,1443.0,943.0,1804.0,1075.0,425.0,834.0,775.0,1186.0,756.0,1112.0,627.0,1727.0,1473.0,926.0,500.0,1253.0,1339.0,1250.0,1418.0,4179.0,437.0,3378.0,1164.0,1929.0,1489.0,1244.0,1518.0,1127.0,2798.0,597.0,3629.0,548.0,941.0,1191.0,241.0,2644.0,448.0,732.0,2003.0,1312.0,1056.0,928.0,543.0,891.0,1401.0,370.0,717.0,361.0,523.0,1498.0,1023.0,886.0,187.0,359.0,401.0,319.0,183.0,97.0,95.0,102.0,190.0,90.0,162.0,74.0,130.0,65.0,123.0,83.0,154.0,108.0,111.0,148.0,83.0,126.0,53.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275.0,281.0,677.0,1397.0,362.0,1394.0,741.0,2092.0,391.0,990.0,314.0,893.0,348.0,600.0,1251.0,570.0,1791.0,538.0,476.0,378.0,600.0,225.0,726.0,656.0,1524.0,505.0,415.0,968.0,922.0,1024.0,585.0,963.0,237.0,1180.0,2137.0,1554.0,1018.0,1384.0,554.0,1203.0,1660.0,1111.0,1495.0,1042.0,1379.0,1139.0,1897.0,2186.0,1513.0,1433.0,3363.0,2133.0,5937.0,2571.0,930.0,1736.0,564.0,843.0,2586.0,1668.0,1442.0,1214.0,1265.0,1854.0,971.0,378.0,2389.0,351.0,1750.0,439.0,2076.0,294.0,1087.0,1471.0,1089.0,4795.0,1672.0,4246.0,901.0,1080.0,741.0,2818.0,1329.0,2106.0,100.0,3437.0,2173.0,2251.0,681.0,1138.0,393.0,387.0,768.0,2479.0,1128.0,935.0,604.0,329.0,953.0,568.0,397.0,238.0,233.0,342.0,231.0,183.0,285.0,349.0,252.0,128.0,135.0,96.0,91.0,74.0,103.0,58.0,112.0,56.0,174.0,65.0,151.0,49.0,188.0,42.0,140.0,58.0,107.0,64.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301.0,82.0,1900.0,194.0,1081.0,301.0,345.0,531.0,746.0,814.0,2959.0,313.0,926.0,572.0,828.0,853.0,473.0,436.0,607.0,636.0,1346.0,685.0,816.0,864.0,1140.0,553.0,376.0,1102.0,752.0,796.0,396.0,3652.0,334.0,1879.0,382.0,1136.0,1364.0,486.0,1720.0,616.0,1111.0,1368.0,633.0,404.0,812.0,1113.0,1341.0,416.0,754.0,1241.0,734.0,1378.0,416.0,2191.0,1064.0,884.0,1729.0,845.0,713.0,1575.0,1344.0,3005.0,783.0,667.0,852.0,890.0,2723.0,404.0,1184.0,575.0,849.0,1083.0,682.0,2231.0,1088.0,630.0,458.0,530.0,383.0,489.0,1012.0,610.0,1845.0,2281.0,954.0,1468.0,339.0,1021.0,372.0,1191.0,1694.0,1121.0,515.0,250.0,202.0,95.0,98.0,108.0,85.0,92.0,84.0,112.0,94.0,131.0,58.0,131.0,73.0,149.0,44.0,142.0,56.0,92.0,74.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
