0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
336.0,34.0,40.0,44.0,3753.0,147.0,38.0,38.0,698.0,237.0,41.0,40.0,592.0,39.0,37.0,41.0,664.0,85.0,40.0,36.0,481.0,48.0,1610.0,56.0,1409.0,57.0,35.0,2655.0,43.0,45.0,34.0,42.0,38.0,39.0,37.0,44.0,36.0,390.0,510.0,34.0,41.0,39.0,488.0,96.0,37.0,1168.0,40.0,978.0,705.0,34.0,41.0,38.0,40.0,2348.0,116.0,34.0,47.0,36.0,39.0,41.0,1417.0,40.0,847.0,65.0,1047.0,37.0,37.0,43.0,37.0,42.0,136.0,41.0,39.0,39.0,41.0,38.0,39.0,39.0,37.0,38.0,39.0,39.0,39.0,42.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1468.0,58.0,1114.0,61.0,39.0,40.0,40.0,39.0,46.0,319.0,320.0,61.0,2144.0,109.0,40.0,40.0,37.0,42.0,39.0,1166.0,37.0,35.0,870.0,929.0,1119.0,32.0,830.0,36.0,651.0,39.0,781.0,1668.0,1491.0,34.0,1545.0,38.0,40.0,39.0,450.0,794.0,65.0,1057.0,38.0,755.0,192.0,39.0,39.0,2851.0,126.0,44.0,1058.0,254.0,45.0,225.0,216.0,269.0,39.0,41.0,43.0,36.0,269.0,82.0,1717.0,41.0,38.0,38.0,43.0,38.0,39.0,37.0,39.0,38.0,40.0,41.0,40.0,39.0,39.0,40.0,38.0,38.0,40.0,35.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591.0,149.0,34.0,42.0,40.0,2848.0,67.0,1090.0,60.0,1248.0,46.0,631.0,519.0,438.0,305.0,39.0,36.0,355.0,47.0,1055.0,76.0,303.0,713.0,33.0,1774.0,32.0,386.0,86.0,1453.0,190.0,932.0,45.0,1978.0,32.0,3046.0,119.0,39.0,1820.0,163.0,179.0,280.0,1318.0,44.0,1067.0,294.0,37.0,551.0,1545.0,39.0,51.0,948.0,250.0,92.0,1186.0,495.0,1817.0,611.0,34.0,2662.0,34.0,369.0,1165.0,1350.0,62.0,2577.0,32.0,3047.0,80.0,1771.0,145.0,36.0,206.0,524.0,2933.0,327.0,2375.0,41.0,34.0,593.0,25.0,596.0,47.0,1637.0,32.0,39.0,105.0,626.0,37.0,39.0,73.0,39.0,40.0,38.0,39.0,38.0,39.0,40.0,42.0,44.0,40.0,38.0,39.0,40.0,39.0,37.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489.0,39.0,413.0,102.0,91.0,119.0,323.0,130.0,356.0,776.0,321.0,2705.0,60.0,475.0,418.0,999.0,1550.0,3421.0,37.0,2955.0,657.0,33.0,371.0,991.0,160.0,614.0,4338.0,37.0,399.0,1598.0,394.0,866.0,280.0,3758.0,150.0,1150.0,645.0,596.0,1881.0,377.0,3961.0,374.0,385.0,796.0,705.0,612.0,594.0,399.0,1036.0,1226.0,2175.0,91.0,1134.0,4175.0,651.0,3124.0,539.0,2508.0,1228.0,1362.0,747.0,509.0,2754.0,794.0,611.0,688.0,866.0,2680.0,1666.0,2109.0,2482.0,3310.0,237.0,1186.0,2096.0,951.0,6067.0,217.0,2096.0,204.0,775.0,322.0,4387.0,787.0,546.0,901.0,616.0,3885.0,370.0,1648.0,2746.0,939.0,1417.0,486.0,1180.0,297.0,2285.0,373.0,848.0,4127.0,434.0,970.0,1219.0,565.0,2936.0,384.0,290.0,688.0,275.0,296.0,180.0,159.0,435.0,223.0,154.0,152.0,120.0,309.0,475.0,216.0,263.0,63.0,145.0,82.0,139.0,61.0,118.0,82.0,99.0,88.0,165.0,134.0,74.0,116.0,89.0,139.0,81.0,154.0,239.0,94.0,68.0,112.0,89.0,60.0,70.0,94.0,104.0,41.0,52.0,39.0,38.0,40.0,59.0,36.0,36.0,40.0,41.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493.0,672.0,457.0,440.0,769.0,693.0,35.0,652.0,38.0,2157.0,56.0,541.0,215.0,867.0,138.0,37.0,2350.0,32.0,38.0,40.0,2426.0,42.0,236.0,1202.0,35.0,3973.0,61.0,60.0,39.0,914.0,341.0,1067.0,946.0,1171.0,70.0,914.0,149.0,1283.0,1137.0,663.0,705.0,759.0,1167.0,675.0,760.0,1080.0,3483.0,465.0,3787.0,54.0,418.0,1115.0,284.0,202.0,807.0,2175.0,242.0,40.0,432.0,564.0,1514.0,277.0,35.0,1834.0,761.0,200.0,1301.0,723.0,302.0,244.0,1223.0,852.0,470.0,1907.0,50.0,130.0,1209.0,1238.0,131.0,1225.0,168.0,38.0,119.0,40.0,575.0,35.0,39.0,1550.0,105.0,37.0,39.0,37.0,40.0,39.0,40.0,37.0,39.0,43.0,40.0,38.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535.0,190.0,39.0,227.0,38.0,1501.0,300.0,1682.0,520.0,30.0,612.0,93.0,2834.0,28.0,60.0,97.0,48.0,3866.0,30.0,38.0,39.0,39.0,781.0,59.0,137.0,847.0,128.0,1402.0,627.0,34.0,36.0,1960.0,180.0,37.0,1976.0,98.0,2254.0,34.0,606.0,490.0,35.0,378.0,295.0,1216.0,229.0,476.0,4035.0,85.0,37.0,269.0,1001.0,584.0,44.0,38.0,859.0,165.0,1343.0,291.0,348.0,1991.0,960.0,32.0,85.0,113.0,1561.0,37.0,37.0,1493.0,883.0,36.0,1401.0,37.0,600.0,267.0,210.0,588.0,806.0,34.0,597.0,422.0,61.0,1744.0,40.0,104.0,842.0,301.0,1288.0,549.0,157.0,38.0,241.0,512.0,31.0,38.0,40.0,40.0,38.0,38.0,37.0,40.0,38.0,39.0,37.0,38.0,40.0,38.0,38.0,41.0,38.0,35.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497.0,37.0,39.0,1741.0,128.0,1703.0,194.0,133.0,1602.0,52.0,38.0,40.0,910.0,442.0,25.0,1483.0,53.0,1890.0,72.0,37.0,967.0,47.0,37.0,323.0,997.0,1035.0,1709.0,519.0,36.0,40.0,38.0,141.0,1430.0,412.0,308.0,1215.0,34.0,36.0,717.0,35.0,838.0,76.0,691.0,712.0,38.0,3389.0,76.0,76.0,565.0,1968.0,98.0,733.0,216.0,1058.0,748.0,80.0,192.0,1345.0,2213.0,854.0,485.0,113.0,571.0,1132.0,46.0,1909.0,1071.0,543.0,862.0,27.0,313.0,41.0,1038.0,1238.0,119.0,105.0,1205.0,75.0,601.0,227.0,804.0,38.0,825.0,252.0,3541.0,190.0,84.0,1640.0,619.0,196.0,1449.0,687.0,1138.0,902.0,80.0,382.0,175.0,521.0,211.0,1684.0,107.0,238.0,369.0,147.0,142.0,140.0,113.0,114.0,110.0,112.0,166.0,108.0,215.0,151.0,152.0,336.0,133.0,94.0,200.0,89.0,159.0,92.0,175.0,128.0,138.0,114.0,129.0,133.0,96.0,168.0,93.0,150.0,98.0,168.0,101.0,154.0,124.0,147.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429.0,493.0,297.0,1046.0,512.0,613.0,2600.0,509.0,4918.0,183.0,1825.0,1782.0,1351.0,922.0,1239.0,557.0,507.0,3123.0,1525.0,1408.0,1352.0,1329.0,869.0,254.0,475.0,593.0,1769.0,1718.0,1156.0,1417.0,588.0,387.0,2841.0,602.0,1783.0,789.0,1369.0,1344.0,833.0,1844.0,311.0,674.0,1360.0,530.0,1437.0,3350.0,1870.0,1344.0,3500.0,2292.0,3173.0,527.0,3558.0,223.0,2846.0,1625.0,796.0,1779.0,1157.0,1184.0,876.0,2344.0,1707.0,1916.0,2304.0,839.0,632.0,913.0,1118.0,1568.0,1905.0,2790.0,479.0,768.0,665.0,1653.0,387.0,1240.0,732.0,2088.0,1183.0,2408.0,625.0,1156.0,1770.0,835.0,448.0,1106.0,1976.0,1454.0,1743.0,673.0,1320.0,841.0,816.0,524.0,745.0,536.0,281.0,265.0,154.0,1360.0,1758.0,511.0,1481.0,628.0,255.0,167.0,685.0,353.0,193.0,127.0,114.0,84.0,147.0,72.0,173.0,79.0,137.0,84.0,119.0,108.0,119.0,109.0,117.0,113.0,106.0,129.0,87.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849.0,569.0,493.0,515.0,1299.0,499.0,596.0,418.0,1197.0,1222.0,531.0,3719.0,73.0,835.0,957.0,706.0,782.0,531.0,265.0,1934.0,170.0,1312.0,1205.0,327.0,756.0,501.0,2157.0,178.0,728.0,1130.0,1281.0,655.0,1234.0,814.0,1475.0,957.0,1152.0,797.0,1339.0,375.0,906.0,836.0,227.0,1680.0,808.0,973.0,839.0,1074.0,471.0,2022.0,432.0,954.0,1769.0,773.0,785.0,1126.0,391.0,557.0,997.0,1437.0,1273.0,492.0,1000.0,647.0,1259.0,752.0,641.0,1314.0,1164.0,700.0,455.0,1899.0,860.0,449.0,1228.0,1183.0,821.0,1100.0,1532.0,325.0,1316.0,601.0,880.0,1102.0,997.0,1267.0,525.0,957.0,789.0,684.0,944.0,1125.0,1064.0,911.0,1978.0,578.0,302.0,315.0,1107.0,880.0,194.0,131.0,111.0,158.0,76.0,153.0,90.0,208.0,101.0,124.0,98.0,374.0,258.0,91.0,123.0,117.0,115.0,104.0,126.0,111.0,162.0,92.0,136.0,108.0,137.0,96.0,140.0,92.0,127.0,111.0,106.0,110.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787.0,242.0,2213.0,221.0,595.0,163.0,790.0,1327.0,52.0,1178.0,234.0,244.0,280.0,1347.0,564.0,467.0,596.0,364.0,1393.0,777.0,2275.0,607.0,1272.0,467.0,561.0,2045.0,599.0,1752.0,1260.0,517.0,1917.0,540.0,1461.0,454.0,1540.0,223.0,1910.0,315.0,2297.0,131.0,1455.0,286.0,1589.0,1124.0,2919.0,674.0,795.0,3044.0,677.0,846.0,2277.0,441.0,263.0,1603.0,1262.0,1190.0,601.0,1474.0,266.0,1213.0,1327.0,3849.0,232.0,778.0,707.0,693.0,1609.0,604.0,3105.0,1238.0,1646.0,598.0,2216.0,523.0,1447.0,1107.0,498.0,1432.0,2049.0,1264.0,1786.0,711.0,1338.0,986.0,1350.0,609.0,1957.0,770.0,566.0,674.0,495.0,695.0,1652.0,807.0,1091.0,1008.0,209.0,128.0,106.0,124.0,109.0,129.0,116.0,136.0,80.0,188.0,115.0,163.0,117.0,140.0,95.0,114.0,117.0,108.0,117.0,115.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
