0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
1616.0,318.0,2074.0,2095.0,2503.0,808.0,2589.0,438.0,1587.0,2328.0,437.0,519.0,2682.0,166.0,1561.0,390.0,2819.0,259.0,1056.0,575.0,1473.0,577.0,1266.0,1359.0,399.0,3118.0,557.0,1726.0,2327.0,1893.0,680.0,2511.0,1705.0,1662.0,912.0,1086.0,3343.0,656.0,1630.0,735.0,2003.0,687.0,2117.0,874.0,2771.0,1958.0,2280.0,1556.0,2139.0,753.0,892.0,922.0,787.0,824.0,2761.0,521.0,2244.0,925.0,516.0,1155.0,1889.0,918.0,1020.0,1225.0,694.0,1381.0,3892.0,564.0,1166.0,370.0,699.0,510.0,1985.0,1221.0,900.0,730.0,633.0,854.0,344.0,703.0,140.0,305.0,61.0,267.0,87.0,263.0,126.0,173.0,150.0,184.0,187.0,115.0,266.0,70.0,232.0,57.0,253.0,59.0,283.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456.0,733.0,1955.0,991.0,1010.0,1238.0,1588.0,1262.0,2858.0,455.0,1340.0,1200.0,1045.0,1723.0,1409.0,883.0,1031.0,980.0,421.0,1377.0,1712.0,2448.0,510.0,1557.0,471.0,2975.0,2063.0,1708.0,1098.0,1268.0,1804.0,1132.0,2838.0,236.0,1919.0,1881.0,2463.0,1185.0,856.0,209.0,2348.0,517.0,1194.0,1092.0,1492.0,717.0,1305.0,1269.0,694.0,2214.0,1042.0,1066.0,970.0,569.0,1044.0,800.0,701.0,1126.0,1130.0,1642.0,1586.0,1067.0,1118.0,4016.0,342.0,1746.0,644.0,1095.0,549.0,1653.0,1117.0,962.0,390.0,1788.0,559.0,1055.0,2114.0,673.0,1434.0,1057.0,2216.0,663.0,1377.0,2818.0,587.0,3094.0,841.0,868.0,205.0,675.0,1708.0,1410.0,898.0,424.0,101.0,625.0,141.0,184.0,275.0,178.0,312.0,81.0,271.0,54.0,271.0,54.0,276.0,74.0,225.0,131.0,181.0,166.0,135.0,161.0,83.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607.0,951.0,198.0,2400.0,336.0,1489.0,918.0,2213.0,174.0,2041.0,1491.0,2040.0,1225.0,541.0,601.0,1611.0,2363.0,563.0,2795.0,1094.0,1511.0,596.0,1155.0,1501.0,2303.0,128.0,1714.0,1006.0,932.0,2814.0,676.0,1724.0,484.0,562.0,1217.0,1154.0,1388.0,1940.0,781.0,1636.0,498.0,2728.0,785.0,2659.0,862.0,2572.0,4606.0,1229.0,982.0,1134.0,2312.0,1171.0,4525.0,722.0,885.0,1239.0,463.0,683.0,229.0,2107.0,1549.0,1277.0,734.0,1271.0,1151.0,986.0,1679.0,840.0,3964.0,2696.0,1446.0,620.0,398.0,395.0,1809.0,1102.0,601.0,2218.0,610.0,2647.0,492.0,606.0,977.0,468.0,747.0,1387.0,549.0,1180.0,1126.0,1194.0,1598.0,1058.0,842.0,1448.0,782.0,1013.0,1784.0,1704.0,580.0,1082.0,848.0,911.0,350.0,233.0,771.0,527.0,617.0,84.0,297.0,157.0,607.0,696.0,358.0,166.0,242.0,127.0,198.0,140.0,136.0,167.0,105.0,213.0,70.0,236.0,95.0,236.0,84.0,278.0,46.0,247.0,76.0,216.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484.0,256.0,562.0,395.0,984.0,1001.0,534.0,2320.0,1500.0,1076.0,1879.0,494.0,3206.0,554.0,1967.0,874.0,551.0,270.0,757.0,2285.0,1004.0,1190.0,662.0,2269.0,552.0,2819.0,402.0,1393.0,742.0,2111.0,1694.0,2324.0,1721.0,1423.0,1808.0,335.0,2371.0,775.0,1247.0,1078.0,448.0,1710.0,2010.0,311.0,1019.0,631.0,309.0,933.0,599.0,1445.0,417.0,1309.0,399.0,3310.0,354.0,2013.0,1056.0,355.0,883.0,436.0,892.0,1305.0,1543.0,1815.0,681.0,1130.0,1152.0,135.0,1514.0,1828.0,386.0,1886.0,820.0,1635.0,890.0,1178.0,365.0,1602.0,1318.0,194.0,1058.0,239.0,991.0,820.0,1276.0,491.0,659.0,3210.0,1295.0,2467.0,1630.0,671.0,598.0,206.0,1162.0,322.0,1196.0,530.0,854.0,494.0,590.0,266.0,1611.0,447.0,477.0,315.0,330.0,369.0,95.0,240.0,117.0,256.0,59.0,270.0,77.0,251.0,119.0,205.0,133.0,185.0,161.0,120.0,184.0,111.0,259.0,97.0,244.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,522.0,159.0,972.0,743.0,870.0,1308.0,742.0,1600.0,1587.0,1367.0,904.0,946.0,428.0,2397.0,765.0,727.0,797.0,301.0,1125.0,1708.0,685.0,1560.0,1048.0,1387.0,1194.0,1921.0,4265.0,1001.0,1680.0,1976.0,627.0,773.0,807.0,842.0,1189.0,919.0,2483.0,636.0,1587.0,1693.0,1129.0,642.0,1424.0,1215.0,821.0,462.0,1357.0,826.0,971.0,262.0,1895.0,1346.0,1441.0,1786.0,1471.0,1389.0,616.0,749.0,2632.0,630.0,1535.0,807.0,3979.0,1000.0,1151.0,1861.0,901.0,2611.0,1847.0,687.0,1166.0,616.0,3243.0,966.0,1815.0,730.0,578.0,638.0,1747.0,963.0,1759.0,1373.0,941.0,2045.0,952.0,1868.0,682.0,2129.0,389.0,694.0,1250.0,998.0,595.0,317.0,857.0,1790.0,702.0,798.0,1667.0,861.0,447.0,577.0,786.0,506.0,215.0,873.0,992.0,425.0,415.0,285.0,227.0,239.0,136.0,275.0,86.0,150.0,167.0,107.0,233.0,85.0,219.0,47.0,259.0,45.0,238.0,52.0,288.0,86.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569.0,373.0,284.0,834.0,2541.0,782.0,4647.0,92.0,2475.0,808.0,2035.0,675.0,2619.0,756.0,1090.0,1244.0,578.0,1988.0,1088.0,2469.0,319.0,1258.0,827.0,428.0,2527.0,1993.0,1480.0,1112.0,880.0,2545.0,1415.0,2111.0,2235.0,853.0,1328.0,467.0,1727.0,936.0,1699.0,2458.0,488.0,1622.0,338.0,639.0,1051.0,554.0,677.0,2584.0,1791.0,520.0,838.0,656.0,296.0,1131.0,1715.0,1835.0,1275.0,459.0,1406.0,778.0,2477.0,1641.0,1239.0,783.0,1515.0,630.0,2303.0,1098.0,672.0,995.0,531.0,712.0,929.0,3989.0,1039.0,1137.0,707.0,763.0,356.0,829.0,1591.0,618.0,2454.0,3285.0,977.0,1137.0,2837.0,815.0,1001.0,2187.0,1041.0,926.0,655.0,1353.0,536.0,661.0,322.0,1494.0,987.0,2055.0,708.0,1175.0,2051.0,1312.0,941.0,208.0,1692.0,1158.0,698.0,307.0,1288.0,238.0,347.0,96.0,279.0,214.0,317.0,108.0,238.0,113.0,203.0,133.0,131.0,158.0,123.0,201.0,73.0,245.0,44.0,284.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939.0,209.0,899.0,423.0,774.0,1619.0,693.0,1021.0,1769.0,480.0,668.0,1070.0,2094.0,768.0,509.0,1829.0,407.0,1128.0,1285.0,314.0,1718.0,637.0,1010.0,1335.0,209.0,1331.0,848.0,1138.0,1092.0,2396.0,1839.0,1096.0,672.0,995.0,583.0,1028.0,662.0,432.0,466.0,1136.0,737.0,949.0,2115.0,842.0,575.0,475.0,2197.0,753.0,650.0,1207.0,1375.0,668.0,2042.0,527.0,695.0,660.0,344.0,758.0,1918.0,1073.0,946.0,2902.0,292.0,1476.0,448.0,2138.0,1111.0,1782.0,938.0,1201.0,483.0,395.0,1895.0,274.0,1547.0,895.0,914.0,1709.0,457.0,1572.0,781.0,988.0,1134.0,3922.0,641.0,1185.0,990.0,228.0,1485.0,485.0,961.0,1170.0,985.0,129.0,1058.0,1674.0,1452.0,1348.0,1094.0,1121.0,1282.0,1116.0,967.0,1683.0,333.0,1245.0,479.0,541.0,868.0,875.0,891.0,2341.0,1248.0,326.0,452.0,282.0,140.0,274.0,1129.0,365.0,1694.0,1140.0,458.0,116.0,245.0,67.0,259.0,75.0,286.0,111.0,216.0,122.0,176.0,139.0,149.0,206.0,84.0,220.0,100.0,254.0,58.0,255.0,63.0
688.0,213.0,325.0,75.0,259.0,216.0,321.0,117.0,2068.0,663.0,1233.0,804.0,367.0,292.0,1304.0,601.0,795.0,1077.0,1529.0,2019.0,1127.0,1562.0,564.0,1057.0,1308.0,337.0,1449.0,971.0,796.0,1109.0,2479.0,428.0,1672.0,2363.0,474.0,1270.0,245.0,1522.0,481.0,505.0,1599.0,1996.0,768.0,1491.0,516.0,257.0,652.0,1247.0,1697.0,1232.0,253.0,1279.0,332.0,1900.0,1475.0,916.0,886.0,1645.0,836.0,880.0,2096.0,1087.0,1742.0,404.0,872.0,580.0,3223.0,1761.0,1630.0,1216.0,762.0,688.0,1970.0,581.0,1265.0,2296.0,451.0,2149.0,359.0,527.0,536.0,1478.0,652.0,1209.0,1444.0,1043.0,1191.0,822.0,598.0,1336.0,486.0,662.0,1074.0,763.0,397.0,441.0,902.0,1502.0,132.0,1715.0,266.0,754.0,591.0,589.0,1047.0,144.0,1996.0,810.0,1150.0,402.0,355.0,1150.0,548.0,367.0,114.0,1046.0,511.0,393.0,110.0,359.0,61.0,287.0,72.0,261.0,129.0,215.0,110.0,188.0,168.0,119.0,197.0,111.0,222.0,71.0,264.0,55.0,255.0,107.0,242.0,74.0,0.0,0.0,0.0
505.0,112.0,208.0,1388.0,867.0,657.0,814.0,2406.0,1618.0,1071.0,1263.0,525.0,1960.0,1311.0,1373.0,706.0,1475.0,960.0,1689.0,1283.0,729.0,719.0,417.0,1190.0,1861.0,623.0,781.0,2609.0,524.0,1827.0,1993.0,1420.0,347.0,1029.0,943.0,1536.0,1047.0,607.0,1106.0,1556.0,1966.0,137.0,815.0,535.0,245.0,1112.0,588.0,1112.0,1982.0,2606.0,273.0,905.0,637.0,300.0,1159.0,915.0,706.0,1034.0,733.0,2249.0,1055.0,837.0,1369.0,901.0,888.0,2010.0,413.0,1782.0,509.0,1544.0,518.0,2190.0,1716.0,625.0,983.0,1469.0,1632.0,1656.0,1563.0,1516.0,1694.0,846.0,1692.0,892.0,2170.0,854.0,1987.0,715.0,936.0,902.0,961.0,1804.0,258.0,1135.0,498.0,1975.0,178.0,1376.0,1361.0,805.0,1236.0,1220.0,1247.0,642.0,595.0,843.0,949.0,601.0,1128.0,2059.0,1141.0,1110.0,657.0,206.0,510.0,109.0,230.0,65.0,434.0,161.0,387.0,120.0,444.0,102.0,220.0,146.0,157.0,180.0,135.0,212.0,80.0,249.0,63.0,259.0,92.0,280.0,56.0,249.0,74.0,219.0,124.0,187.0,148.0
821.0,367.0,566.0,1212.0,153.0,1687.0,1076.0,1696.0,460.0,2125.0,335.0,1494.0,1725.0,2517.0,802.0,440.0,1519.0,1581.0,215.0,1679.0,3231.0,855.0,898.0,1163.0,831.0,709.0,1025.0,808.0,1201.0,1130.0,664.0,2436.0,450.0,2321.0,541.0,916.0,417.0,1516.0,291.0,1539.0,725.0,1011.0,739.0,1309.0,977.0,183.0,379.0,1302.0,404.0,2677.0,448.0,2100.0,840.0,595.0,496.0,278.0,939.0,862.0,1084.0,921.0,277.0,1564.0,628.0,984.0,385.0,1290.0,1822.0,1813.0,1256.0,1514.0,456.0,707.0,975.0,1211.0,662.0,927.0,1063.0,795.0,627.0,527.0,1308.0,720.0,782.0,523.0,1001.0,991.0,1189.0,1057.0,898.0,447.0,1017.0,898.0,705.0,1639.0,806.0,675.0,525.0,966.0,704.0,1214.0,797.0,597.0,240.0,481.0,301.0,494.0,1001.0,1132.0,1523.0,718.0,374.0,316.0,469.0,169.0,273.0,81.0,450.0,128.0,277.0,79.0,270.0,89.0,253.0,139.0,197.0,151.0,177.0,166.0,100.0,216.0,102.0,215.0,86.0,257.0,58.0,309.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
