0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
1091.0,167.0,239.0,229.0,841.0,222.0,412.0,438.0,252.0,749.0,282.0,743.0,174.0,896.0,806.0,330.0,264.0,1336.0,881.0,482.0,638.0,445.0,936.0,368.0,601.0,312.0,928.0,377.0,430.0,557.0,867.0,590.0,269.0,339.0,777.0,497.0,872.0,200.0,991.0,469.0,668.0,560.0,1270.0,537.0,322.0,880.0,1172.0,703.0,908.0,307.0,886.0,484.0,371.0,1259.0,378.0,707.0,635.0,929.0,405.0,913.0,538.0,647.0,391.0,886.0,1253.0,540.0,1035.0,914.0,148.0,578.0,733.0,363.0,658.0,273.0,363.0,1125.0,1100.0,332.0,596.0,383.0,352.0,325.0,1124.0,333.0,228.0,170.0,423.0,349.0,184.0,183.0,135.0,93.0,133.0,101.0,127.0,105.0,102.0,111.0,97.0,113.0,102.0,126.0,95.0,126.0,91.0,116.0,95.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436.0,157.0,409.0,265.0,94.0,345.0,637.0,309.0,300.0,168.0,1128.0,149.0,840.0,628.0,140.0,712.0,576.0,135.0,485.0,828.0,477.0,298.0,545.0,607.0,647.0,455.0,723.0,496.0,677.0,464.0,315.0,318.0,725.0,703.0,433.0,759.0,615.0,628.0,513.0,492.0,323.0,741.0,1235.0,246.0,658.0,695.0,782.0,733.0,614.0,682.0,516.0,578.0,1130.0,1679.0,650.0,934.0,493.0,868.0,687.0,1277.0,160.0,756.0,816.0,575.0,510.0,860.0,181.0,463.0,691.0,958.0,688.0,246.0,1483.0,272.0,732.0,475.0,213.0,740.0,281.0,207.0,302.0,1182.0,359.0,374.0,360.0,820.0,319.0,360.0,606.0,693.0,145.0,225.0,128.0,168.0,293.0,127.0,137.0,101.0,144.0,77.0,113.0,91.0,112.0,84.0,104.0,79.0,102.0,88.0,99.0,89.0,108.0,97.0,101.0,108.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454.0,62.0,352.0,126.0,369.0,152.0,249.0,323.0,285.0,152.0,523.0,365.0,663.0,282.0,502.0,589.0,475.0,513.0,281.0,532.0,323.0,494.0,546.0,487.0,273.0,283.0,1324.0,234.0,555.0,227.0,614.0,957.0,529.0,463.0,910.0,800.0,647.0,422.0,573.0,722.0,375.0,753.0,635.0,325.0,516.0,1085.0,338.0,387.0,223.0,1059.0,275.0,312.0,1042.0,1232.0,247.0,544.0,734.0,1500.0,570.0,1004.0,1454.0,510.0,552.0,855.0,864.0,841.0,525.0,524.0,379.0,1039.0,210.0,829.0,828.0,613.0,462.0,369.0,592.0,655.0,441.0,341.0,606.0,572.0,603.0,932.0,451.0,356.0,284.0,1042.0,259.0,224.0,240.0,166.0,112.0,105.0,118.0,112.0,108.0,100.0,119.0,86.0,113.0,91.0,131.0,89.0,109.0,122.0,106.0,90.0,108.0,102.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,236.0,159.0,492.0,165.0,561.0,757.0,608.0,799.0,866.0,813.0,607.0,379.0,831.0,271.0,744.0,370.0,560.0,478.0,635.0,292.0,314.0,408.0,486.0,652.0,459.0,429.0,434.0,212.0,553.0,141.0,1058.0,88.0,1901.0,277.0,894.0,555.0,627.0,314.0,241.0,1180.0,647.0,298.0,751.0,1051.0,524.0,613.0,840.0,502.0,502.0,622.0,1004.0,402.0,162.0,822.0,299.0,958.0,313.0,502.0,804.0,565.0,433.0,316.0,404.0,821.0,479.0,760.0,650.0,400.0,774.0,952.0,961.0,427.0,378.0,326.0,395.0,451.0,483.0,1135.0,571.0,725.0,133.0,881.0,252.0,635.0,587.0,347.0,853.0,213.0,408.0,588.0,294.0,238.0,438.0,193.0,257.0,204.0,263.0,132.0,98.0,153.0,141.0,105.0,64.0,135.0,73.0,137.0,67.0,116.0,102.0,109.0,137.0,80.0,93.0,165.0,142.0,90.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473.0,383.0,297.0,253.0,182.0,345.0,311.0,1256.0,370.0,568.0,627.0,798.0,272.0,528.0,206.0,425.0,286.0,826.0,742.0,487.0,629.0,629.0,811.0,491.0,300.0,449.0,619.0,388.0,551.0,720.0,204.0,1011.0,496.0,354.0,1636.0,1574.0,509.0,389.0,964.0,384.0,1552.0,765.0,595.0,1167.0,641.0,822.0,530.0,729.0,513.0,417.0,624.0,420.0,381.0,311.0,926.0,357.0,882.0,339.0,566.0,321.0,260.0,737.0,487.0,1663.0,220.0,237.0,593.0,484.0,786.0,1049.0,1132.0,610.0,359.0,793.0,957.0,808.0,583.0,1195.0,1155.0,635.0,642.0,955.0,1032.0,1142.0,987.0,943.0,565.0,1035.0,428.0,751.0,393.0,784.0,487.0,951.0,664.0,459.0,239.0,981.0,488.0,413.0,114.0,908.0,954.0,177.0,132.0,693.0,744.0,149.0,131.0,78.0,119.0,89.0,248.0,152.0,124.0,107.0,97.0,84.0,96.0,96.0,83.0,100.0,88.0,104.0,71.0,124.0,77.0,113.0,81.0,115.0,83.0,107.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,251.0,265.0,338.0,331.0,129.0,274.0,271.0,243.0,243.0,445.0,502.0,395.0,608.0,711.0,339.0,380.0,373.0,554.0,328.0,609.0,754.0,513.0,230.0,405.0,498.0,1406.0,143.0,682.0,668.0,188.0,1040.0,245.0,703.0,294.0,403.0,641.0,185.0,695.0,202.0,525.0,234.0,249.0,381.0,390.0,731.0,288.0,673.0,222.0,592.0,930.0,201.0,522.0,207.0,612.0,513.0,403.0,119.0,815.0,484.0,410.0,988.0,552.0,278.0,874.0,155.0,656.0,432.0,406.0,333.0,340.0,443.0,726.0,706.0,87.0,844.0,248.0,490.0,716.0,432.0,944.0,384.0,99.0,796.0,210.0,583.0,485.0,732.0,1166.0,923.0,106.0,287.0,575.0,97.0,1091.0,152.0,392.0,100.0,173.0,226.0,122.0,107.0,111.0,129.0,83.0,125.0,75.0,112.0,75.0,124.0,77.0,123.0,76.0,114.0,91.0,108.0,92.0,81.0,109.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286.0,87.0,222.0,90.0,128.0,209.0,142.0,298.0,116.0,248.0,144.0,123.0,158.0,136.0,192.0,327.0,129.0,176.0,75.0,374.0,185.0,258.0,675.0,267.0,556.0,368.0,225.0,235.0,348.0,382.0,563.0,581.0,193.0,555.0,226.0,606.0,333.0,1062.0,216.0,828.0,407.0,169.0,920.0,875.0,227.0,350.0,725.0,448.0,273.0,470.0,545.0,563.0,350.0,695.0,144.0,568.0,229.0,546.0,662.0,703.0,338.0,565.0,462.0,645.0,943.0,660.0,438.0,553.0,698.0,500.0,653.0,278.0,858.0,193.0,750.0,565.0,625.0,798.0,340.0,970.0,981.0,617.0,819.0,905.0,526.0,775.0,310.0,1272.0,380.0,573.0,496.0,606.0,332.0,812.0,976.0,692.0,424.0,446.0,382.0,494.0,504.0,267.0,1386.0,351.0,271.0,426.0,414.0,113.0,149.0,103.0,94.0,104.0,85.0,106.0,87.0,94.0,95.0,77.0,106.0,81.0,97.0,95.0,97.0,88.0,122.0,79.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342.0,471.0,120.0,404.0,651.0,383.0,260.0,317.0,340.0,633.0,429.0,499.0,193.0,359.0,305.0,224.0,710.0,244.0,318.0,134.0,514.0,153.0,457.0,318.0,741.0,345.0,559.0,311.0,247.0,611.0,240.0,462.0,439.0,580.0,538.0,491.0,318.0,620.0,679.0,557.0,507.0,969.0,611.0,1676.0,966.0,711.0,762.0,356.0,721.0,227.0,1078.0,490.0,584.0,730.0,850.0,497.0,562.0,571.0,927.0,522.0,645.0,420.0,335.0,532.0,806.0,506.0,465.0,390.0,899.0,1169.0,224.0,513.0,596.0,607.0,661.0,654.0,514.0,251.0,221.0,585.0,320.0,1167.0,434.0,361.0,820.0,268.0,774.0,346.0,805.0,440.0,717.0,151.0,794.0,544.0,232.0,346.0,608.0,1580.0,871.0,241.0,735.0,153.0,417.0,276.0,812.0,370.0,556.0,126.0,586.0,147.0,140.0,338.0,110.0,97.0,145.0,109.0,131.0,106.0,108.0,90.0,100.0,87.0,91.0,95.0,84.0,105.0,91.0,119.0,73.0,117.0,75.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278.0,253.0,140.0,272.0,450.0,260.0,551.0,191.0,317.0,363.0,226.0,717.0,651.0,474.0,206.0,262.0,128.0,1266.0,252.0,335.0,142.0,590.0,202.0,476.0,298.0,416.0,194.0,646.0,422.0,304.0,881.0,241.0,646.0,600.0,453.0,1239.0,1299.0,703.0,817.0,187.0,1149.0,303.0,432.0,213.0,639.0,511.0,480.0,928.0,375.0,765.0,657.0,601.0,511.0,900.0,331.0,621.0,365.0,430.0,699.0,1194.0,995.0,562.0,643.0,593.0,973.0,627.0,250.0,1154.0,720.0,1020.0,574.0,586.0,105.0,1037.0,373.0,792.0,380.0,911.0,247.0,1171.0,1015.0,454.0,322.0,739.0,647.0,462.0,1172.0,1088.0,761.0,258.0,791.0,432.0,357.0,1080.0,204.0,699.0,527.0,725.0,500.0,657.0,380.0,447.0,319.0,128.0,373.0,795.0,166.0,164.0,190.0,753.0,128.0,156.0,116.0,121.0,102.0,113.0,100.0,110.0,94.0,88.0,92.0,107.0,94.0,90.0,121.0,127.0,109.0,96.0,122.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,262.0,411.0,149.0,190.0,739.0,784.0,444.0,284.0,726.0,566.0,505.0,403.0,259.0,417.0,317.0,780.0,452.0,359.0,930.0,332.0,542.0,874.0,190.0,581.0,391.0,437.0,710.0,906.0,319.0,460.0,602.0,903.0,335.0,232.0,418.0,632.0,310.0,654.0,290.0,827.0,443.0,286.0,361.0,448.0,574.0,761.0,1049.0,1095.0,335.0,562.0,425.0,470.0,1137.0,297.0,468.0,686.0,1528.0,311.0,179.0,1005.0,251.0,1959.0,981.0,134.0,909.0,449.0,943.0,461.0,674.0,373.0,854.0,368.0,517.0,708.0,283.0,536.0,462.0,485.0,626.0,435.0,539.0,635.0,690.0,58.0,556.0,923.0,539.0,561.0,496.0,171.0,798.0,386.0,583.0,273.0,737.0,819.0,245.0,553.0,135.0,401.0,689.0,474.0,247.0,239.0,130.0,81.0,119.0,84.0,97.0,83.0,106.0,87.0,102.0,76.0,115.0,80.0,92.0,82.0,94.0,94.0,93.0,119.0,78.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
