0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
630.0,178.0,182.0,468.0,366.0,427.0,234.0,357.0,930.0,94.0,981.0,244.0,705.0,324.0,361.0,329.0,699.0,255.0,487.0,791.0,396.0,412.0,588.0,531.0,749.0,511.0,441.0,1270.0,434.0,481.0,585.0,132.0,1524.0,178.0,450.0,723.0,418.0,360.0,970.0,962.0,690.0,184.0,602.0,269.0,639.0,830.0,286.0,646.0,362.0,298.0,886.0,428.0,368.0,469.0,118.0,350.0,461.0,578.0,181.0,263.0,174.0,265.0,242.0,145.0,210.0,107.0,244.0,93.0,232.0,117.0,223.0,97.0,206.0,90.0,200.0,174.0,195.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599.0,275.0,274.0,853.0,430.0,245.0,282.0,345.0,836.0,230.0,549.0,475.0,302.0,265.0,828.0,382.0,287.0,1054.0,386.0,345.0,583.0,223.0,509.0,677.0,468.0,384.0,404.0,522.0,362.0,409.0,500.0,883.0,147.0,477.0,856.0,703.0,324.0,360.0,598.0,651.0,644.0,942.0,491.0,1122.0,878.0,469.0,204.0,719.0,800.0,367.0,493.0,679.0,414.0,453.0,470.0,416.0,1079.0,468.0,364.0,717.0,413.0,503.0,467.0,646.0,563.0,188.0,482.0,232.0,410.0,147.0,738.0,212.0,431.0,189.0,214.0,137.0,169.0,153.0,115.0,233.0,93.0,230.0,122.0,230.0,66.0,221.0,70.0,193.0,123.0,191.0,112.0,191.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764.0,153.0,313.0,169.0,941.0,718.0,705.0,671.0,545.0,265.0,534.0,605.0,378.0,278.0,845.0,362.0,476.0,396.0,505.0,214.0,1038.0,874.0,338.0,604.0,479.0,250.0,1216.0,689.0,441.0,508.0,1207.0,226.0,1098.0,400.0,620.0,418.0,508.0,1126.0,527.0,630.0,556.0,463.0,319.0,884.0,694.0,522.0,465.0,371.0,804.0,352.0,555.0,194.0,391.0,797.0,590.0,239.0,965.0,382.0,723.0,354.0,976.0,811.0,909.0,213.0,270.0,532.0,329.0,392.0,823.0,562.0,629.0,267.0,371.0,344.0,232.0,387.0,109.0,381.0,141.0,248.0,144.0,172.0,131.0,166.0,169.0,121.0,230.0,96.0,203.0,127.0,211.0,75.0,208.0,76.0,208.0,148.0,192.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424.0,197.0,392.0,320.0,452.0,831.0,788.0,318.0,1187.0,320.0,788.0,251.0,415.0,1130.0,320.0,688.0,284.0,407.0,442.0,923.0,534.0,824.0,709.0,872.0,276.0,480.0,405.0,750.0,403.0,461.0,679.0,649.0,1009.0,875.0,332.0,644.0,285.0,336.0,1133.0,566.0,1332.0,882.0,449.0,910.0,467.0,834.0,398.0,1108.0,828.0,962.0,264.0,1031.0,218.0,402.0,869.0,289.0,796.0,976.0,506.0,441.0,544.0,556.0,817.0,923.0,771.0,802.0,499.0,749.0,605.0,453.0,710.0,743.0,655.0,813.0,811.0,693.0,1707.0,485.0,1466.0,892.0,537.0,794.0,279.0,342.0,533.0,714.0,827.0,478.0,375.0,835.0,330.0,203.0,183.0,222.0,256.0,327.0,486.0,129.0,289.0,70.0,234.0,88.0,258.0,119.0,179.0,208.0,289.0,185.0,132.0,181.0,129.0,214.0,128.0,200.0,76.0,252.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
479.0,133.0,356.0,358.0,162.0,591.0,264.0,497.0,857.0,134.0,1174.0,416.0,800.0,364.0,760.0,609.0,358.0,813.0,685.0,552.0,500.0,980.0,385.0,715.0,243.0,1237.0,268.0,644.0,689.0,333.0,447.0,500.0,288.0,466.0,491.0,256.0,951.0,314.0,974.0,446.0,235.0,846.0,575.0,290.0,639.0,957.0,427.0,1049.0,206.0,372.0,469.0,293.0,506.0,1488.0,144.0,1294.0,674.0,458.0,467.0,312.0,409.0,364.0,707.0,589.0,1112.0,476.0,419.0,264.0,578.0,1115.0,519.0,397.0,521.0,322.0,452.0,237.0,465.0,285.0,415.0,273.0,192.0,189.0,201.0,202.0,102.0,237.0,113.0,229.0,85.0,262.0,84.0,187.0,124.0,156.0,135.0,127.0,183.0,94.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709.0,794.0,316.0,325.0,1305.0,207.0,352.0,551.0,461.0,283.0,246.0,459.0,196.0,381.0,670.0,596.0,606.0,245.0,968.0,441.0,652.0,244.0,459.0,628.0,263.0,1045.0,151.0,420.0,860.0,653.0,573.0,222.0,826.0,643.0,353.0,243.0,424.0,532.0,613.0,465.0,365.0,1471.0,552.0,633.0,271.0,352.0,497.0,1179.0,194.0,361.0,1081.0,544.0,464.0,343.0,432.0,214.0,1077.0,324.0,1536.0,527.0,760.0,576.0,221.0,177.0,785.0,420.0,882.0,1025.0,452.0,209.0,397.0,568.0,461.0,592.0,918.0,179.0,523.0,417.0,552.0,364.0,218.0,860.0,392.0,558.0,382.0,342.0,203.0,491.0,415.0,165.0,546.0,204.0,709.0,683.0,177.0,421.0,308.0,266.0,244.0,251.0,161.0,187.0,81.0,246.0,87.0,242.0,137.0,227.0,118.0,159.0,183.0,114.0,171.0,141.0,169.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433.0,266.0,701.0,318.0,378.0,427.0,65.0,1380.0,137.0,836.0,465.0,904.0,846.0,355.0,257.0,224.0,445.0,664.0,306.0,422.0,369.0,307.0,171.0,247.0,811.0,248.0,924.0,82.0,408.0,423.0,477.0,256.0,1113.0,219.0,630.0,1027.0,540.0,462.0,351.0,296.0,693.0,352.0,706.0,684.0,302.0,431.0,418.0,297.0,514.0,599.0,765.0,354.0,346.0,865.0,558.0,311.0,386.0,669.0,198.0,1487.0,172.0,723.0,466.0,325.0,619.0,323.0,406.0,1056.0,110.0,641.0,319.0,627.0,308.0,553.0,392.0,978.0,520.0,795.0,547.0,402.0,484.0,156.0,904.0,355.0,735.0,263.0,325.0,390.0,487.0,176.0,659.0,296.0,413.0,338.0,255.0,179.0,203.0,344.0,347.0,229.0,203.0,225.0,110.0,245.0,126.0,244.0,105.0,236.0,86.0,205.0,127.0,231.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543.0,480.0,965.0,370.0,92.0,1041.0,198.0,690.0,365.0,527.0,233.0,1295.0,173.0,407.0,175.0,417.0,501.0,876.0,349.0,1536.0,93.0,621.0,851.0,458.0,374.0,253.0,600.0,443.0,295.0,1213.0,409.0,882.0,651.0,229.0,1027.0,273.0,436.0,436.0,166.0,1276.0,1170.0,426.0,710.0,733.0,472.0,256.0,603.0,402.0,395.0,566.0,468.0,266.0,901.0,743.0,694.0,394.0,986.0,472.0,355.0,466.0,636.0,283.0,359.0,735.0,600.0,566.0,313.0,215.0,525.0,276.0,267.0,1171.0,493.0,818.0,214.0,638.0,172.0,550.0,334.0,521.0,136.0,375.0,401.0,532.0,118.0,345.0,163.0,283.0,260.0,120.0,209.0,137.0,208.0,102.0,236.0,108.0,216.0,123.0,188.0,108.0,182.0,128.0,151.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364.0,123.0,401.0,94.0,454.0,119.0,482.0,687.0,251.0,455.0,578.0,292.0,433.0,346.0,241.0,1056.0,94.0,356.0,460.0,239.0,324.0,372.0,393.0,354.0,421.0,497.0,197.0,546.0,527.0,204.0,400.0,247.0,1238.0,100.0,506.0,216.0,506.0,342.0,363.0,659.0,453.0,1241.0,356.0,489.0,137.0,429.0,460.0,593.0,533.0,680.0,388.0,358.0,638.0,286.0,688.0,716.0,324.0,198.0,450.0,378.0,987.0,154.0,340.0,291.0,331.0,309.0,236.0,756.0,743.0,362.0,444.0,176.0,737.0,231.0,203.0,809.0,429.0,684.0,184.0,562.0,590.0,706.0,373.0,386.0,696.0,524.0,546.0,468.0,387.0,174.0,301.0,142.0,629.0,328.0,400.0,161.0,275.0,112.0,191.0,160.0,308.0,203.0,198.0,199.0,129.0,230.0,73.0,258.0,69.0,230.0,75.0,233.0,86.0,157.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438.0,127.0,300.0,64.0,334.0,199.0,651.0,245.0,433.0,341.0,86.0,345.0,353.0,778.0,531.0,733.0,282.0,294.0,663.0,418.0,711.0,751.0,449.0,657.0,578.0,480.0,608.0,454.0,431.0,1097.0,206.0,269.0,1047.0,469.0,368.0,353.0,619.0,308.0,360.0,580.0,650.0,166.0,987.0,254.0,406.0,452.0,403.0,593.0,406.0,596.0,254.0,451.0,668.0,341.0,211.0,497.0,497.0,341.0,693.0,809.0,427.0,458.0,261.0,636.0,789.0,221.0,844.0,436.0,599.0,257.0,331.0,309.0,545.0,347.0,329.0,296.0,399.0,638.0,189.0,967.0,633.0,624.0,753.0,401.0,271.0,364.0,223.0,303.0,188.0,285.0,603.0,552.0,189.0,145.0,378.0,124.0,272.0,93.0,331.0,69.0,291.0,92.0,192.0,136.0,203.0,137.0,142.0,152.0,117.0,217.0,99.0,183.0,136.0,205.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
