0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
9061.0,112.0,228.0,353.0,155.0,257.0,389.0,590.0,193.0,338.0,235.0,476.0,286.0,492.0,441.0,275.0,328.0,587.0,215.0,162.0,607.0,732.0,456.0,200.0,445.0,767.0,158.0,586.0,124.0,554.0,176.0,972.0,298.0,651.0,323.0,1423.0,106.0,576.0,638.0,982.0,263.0,1136.0,273.0,563.0,574.0,265.0,750.0,481.0,354.0,256.0,1542.0,360.0,618.0,113.0,1642.0,248.0,233.0,230.0,1529.0,557.0,497.0,201.0,1544.0,515.0,186.0,548.0,794.0,513.0,107.0,936.0,592.0,1222.0,312.0,359.0,210.0,435.0,158.0,211.0,295.0,473.0,140.0,71.0,100.0,84.0,97.0,54.0,146.0,75.0,148.0,59.0,101.0,71.0,109.0,60.0,117.0,145.0,72.0,109.0,89.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402.0,74.0,378.0,78.0,549.0,287.0,301.0,123.0,284.0,901.0,134.0,463.0,205.0,287.0,147.0,675.0,722.0,659.0,126.0,320.0,458.0,270.0,1152.0,333.0,172.0,114.0,1088.0,300.0,162.0,705.0,276.0,788.0,793.0,486.0,317.0,1167.0,350.0,728.0,629.0,719.0,699.0,440.0,654.0,348.0,646.0,184.0,1043.0,320.0,651.0,538.0,955.0,291.0,326.0,467.0,1113.0,215.0,326.0,809.0,442.0,404.0,145.0,1439.0,643.0,481.0,502.0,718.0,202.0,564.0,173.0,1180.0,328.0,962.0,575.0,72.0,835.0,282.0,147.0,435.0,357.0,770.0,498.0,212.0,648.0,109.0,216.0,347.0,710.0,97.0,166.0,96.0,80.0,105.0,101.0,147.0,123.0,55.0,107.0,87.0,143.0,45.0,143.0,58.0,221.0,81.0,141.0,89.0,172.0,109.0,98.0,113.0,93.0,100.0,79.0,108.0,88.0,137.0,63.0,129.0,70.0,122.0,77.0,91.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454.0,293.0,200.0,277.0,392.0,189.0,469.0,122.0,375.0,66.0,710.0,178.0,270.0,280.0,246.0,461.0,194.0,468.0,304.0,658.0,187.0,417.0,265.0,606.0,260.0,662.0,266.0,238.0,534.0,613.0,529.0,262.0,496.0,392.0,268.0,52.0,1388.0,314.0,852.0,134.0,593.0,541.0,297.0,812.0,206.0,1264.0,55.0,937.0,44.0,622.0,183.0,620.0,415.0,417.0,427.0,841.0,163.0,471.0,401.0,261.0,1400.0,202.0,423.0,161.0,471.0,556.0,211.0,1636.0,433.0,1141.0,387.0,283.0,354.0,1789.0,375.0,359.0,179.0,305.0,840.0,967.0,463.0,344.0,402.0,398.0,189.0,309.0,161.0,910.0,228.0,189.0,180.0,186.0,106.0,174.0,46.0,310.0,49.0,165.0,152.0,77.0,70.0,101.0,97.0,51.0,106.0,68.0,119.0,51.0,135.0,53.0,189.0,107.0,149.0,128.0,128.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271.0,216.0,113.0,163.0,131.0,145.0,231.0,422.0,193.0,390.0,152.0,257.0,251.0,173.0,588.0,445.0,355.0,652.0,80.0,317.0,1191.0,470.0,283.0,234.0,430.0,455.0,537.0,321.0,315.0,703.0,444.0,84.0,632.0,293.0,425.0,421.0,784.0,89.0,1534.0,522.0,751.0,564.0,386.0,634.0,210.0,979.0,292.0,1045.0,139.0,476.0,268.0,395.0,669.0,264.0,439.0,521.0,493.0,272.0,183.0,289.0,608.0,796.0,665.0,396.0,549.0,158.0,451.0,135.0,1069.0,485.0,494.0,544.0,465.0,1526.0,83.0,260.0,276.0,335.0,609.0,940.0,899.0,476.0,868.0,106.0,733.0,262.0,401.0,75.0,1209.0,239.0,686.0,58.0,372.0,261.0,123.0,859.0,209.0,496.0,238.0,297.0,485.0,110.0,201.0,325.0,133.0,114.0,73.0,307.0,88.0,61.0,92.0,59.0,111.0,63.0,116.0,49.0,110.0,77.0,127.0,53.0,138.0,70.0,92.0,102.0,85.0,86.0,81.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,128.0,125.0,140.0,132.0,97.0,287.0,199.0,244.0,297.0,234.0,185.0,66.0,732.0,77.0,157.0,136.0,125.0,445.0,172.0,373.0,128.0,524.0,106.0,601.0,45.0,793.0,694.0,407.0,165.0,113.0,127.0,548.0,100.0,613.0,121.0,351.0,149.0,184.0,478.0,114.0,445.0,359.0,693.0,532.0,565.0,296.0,123.0,851.0,119.0,346.0,247.0,787.0,261.0,836.0,429.0,185.0,229.0,111.0,994.0,243.0,136.0,493.0,97.0,413.0,610.0,251.0,784.0,308.0,440.0,252.0,418.0,295.0,687.0,622.0,619.0,499.0,1024.0,366.0,167.0,355.0,747.0,315.0,1356.0,582.0,308.0,502.0,91.0,201.0,403.0,315.0,713.0,917.0,560.0,150.0,311.0,107.0,648.0,287.0,330.0,495.0,296.0,588.0,191.0,466.0,306.0,128.0,38.0,175.0,59.0,125.0,80.0,104.0,62.0,125.0,63.0,165.0,113.0,98.0,71.0,66.0,132.0,60.0,103.0,59.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298.0,125.0,263.0,105.0,120.0,77.0,100.0,188.0,83.0,403.0,71.0,522.0,181.0,476.0,83.0,606.0,82.0,915.0,394.0,102.0,455.0,67.0,468.0,287.0,393.0,370.0,380.0,221.0,740.0,407.0,377.0,323.0,311.0,466.0,361.0,368.0,241.0,488.0,813.0,144.0,334.0,214.0,745.0,469.0,676.0,549.0,344.0,667.0,422.0,403.0,518.0,571.0,141.0,463.0,717.0,173.0,361.0,693.0,123.0,367.0,307.0,243.0,863.0,133.0,817.0,527.0,673.0,342.0,409.0,350.0,466.0,265.0,876.0,360.0,762.0,578.0,350.0,430.0,107.0,514.0,1671.0,325.0,405.0,1502.0,416.0,619.0,221.0,570.0,55.0,946.0,81.0,690.0,513.0,693.0,309.0,374.0,202.0,381.0,1217.0,149.0,424.0,401.0,405.0,192.0,446.0,328.0,260.0,110.0,131.0,98.0,69.0,136.0,68.0,82.0,102.0,67.0,86.0,69.0,85.0,62.0,131.0,74.0,97.0,69.0,137.0,49.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430.0,78.0,170.0,183.0,161.0,40.0,469.0,76.0,316.0,171.0,198.0,520.0,218.0,278.0,223.0,338.0,264.0,531.0,135.0,390.0,199.0,355.0,624.0,461.0,652.0,248.0,515.0,1125.0,104.0,1302.0,540.0,307.0,495.0,154.0,304.0,232.0,423.0,559.0,718.0,184.0,456.0,381.0,114.0,1022.0,301.0,689.0,87.0,1484.0,457.0,126.0,538.0,192.0,713.0,855.0,576.0,345.0,326.0,736.0,295.0,459.0,334.0,393.0,333.0,413.0,788.0,441.0,216.0,417.0,506.0,264.0,498.0,263.0,1047.0,561.0,780.0,370.0,820.0,153.0,1040.0,151.0,518.0,146.0,647.0,502.0,525.0,200.0,577.0,387.0,819.0,892.0,205.0,239.0,127.0,231.0,448.0,524.0,213.0,231.0,295.0,591.0,597.0,108.0,841.0,358.0,198.0,357.0,190.0,269.0,168.0,169.0,69.0,88.0,81.0,106.0,58.0,129.0,48.0,131.0,87.0,86.0,72.0,117.0,103.0,69.0,120.0,71.0,102.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273.0,93.0,437.0,29.0,321.0,382.0,389.0,230.0,374.0,87.0,232.0,1326.0,67.0,676.0,547.0,359.0,73.0,620.0,457.0,219.0,475.0,248.0,415.0,420.0,439.0,299.0,350.0,988.0,131.0,329.0,231.0,129.0,753.0,309.0,330.0,317.0,419.0,603.0,46.0,870.0,124.0,549.0,225.0,277.0,331.0,628.0,120.0,306.0,177.0,225.0,363.0,596.0,267.0,313.0,830.0,143.0,556.0,456.0,386.0,458.0,316.0,265.0,252.0,434.0,155.0,439.0,109.0,728.0,773.0,127.0,440.0,303.0,370.0,381.0,677.0,358.0,591.0,205.0,188.0,626.0,401.0,330.0,297.0,145.0,1012.0,78.0,453.0,252.0,445.0,176.0,486.0,541.0,288.0,524.0,112.0,770.0,230.0,439.0,324.0,366.0,476.0,296.0,157.0,247.0,185.0,126.0,287.0,152.0,121.0,128.0,60.0,147.0,54.0,99.0,77.0,111.0,65.0,79.0,132.0,73.0,110.0,59.0,103.0,98.0,185.0,43.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283.0,96.0,220.0,104.0,124.0,481.0,128.0,359.0,87.0,328.0,248.0,311.0,326.0,138.0,148.0,184.0,193.0,343.0,324.0,490.0,193.0,509.0,266.0,230.0,202.0,423.0,217.0,1254.0,252.0,423.0,196.0,289.0,291.0,942.0,283.0,560.0,1157.0,578.0,475.0,277.0,843.0,395.0,267.0,401.0,629.0,239.0,1336.0,227.0,477.0,205.0,311.0,855.0,435.0,775.0,794.0,479.0,526.0,416.0,537.0,345.0,484.0,70.0,1283.0,299.0,642.0,541.0,388.0,517.0,235.0,671.0,286.0,562.0,118.0,438.0,491.0,266.0,903.0,172.0,487.0,684.0,237.0,648.0,424.0,532.0,243.0,384.0,539.0,489.0,550.0,592.0,806.0,357.0,356.0,334.0,303.0,361.0,416.0,331.0,681.0,303.0,615.0,464.0,906.0,164.0,1020.0,317.0,248.0,144.0,107.0,138.0,170.0,146.0,159.0,52.0,152.0,37.0,129.0,76.0,164.0,58.0,144.0,72.0,101.0,94.0,110.0,65.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264.0,199.0,241.0,279.0,94.0,630.0,194.0,235.0,68.0,1650.0,521.0,196.0,437.0,62.0,1047.0,133.0,376.0,166.0,1227.0,262.0,559.0,87.0,339.0,287.0,131.0,714.0,310.0,618.0,400.0,694.0,178.0,804.0,439.0,207.0,735.0,205.0,491.0,540.0,990.0,715.0,525.0,413.0,442.0,308.0,384.0,264.0,360.0,1525.0,447.0,173.0,395.0,156.0,566.0,63.0,1357.0,179.0,834.0,494.0,257.0,398.0,325.0,646.0,277.0,671.0,232.0,533.0,1010.0,169.0,333.0,488.0,684.0,919.0,979.0,440.0,350.0,234.0,165.0,1306.0,238.0,417.0,790.0,1117.0,333.0,343.0,397.0,235.0,645.0,125.0,594.0,420.0,110.0,963.0,730.0,425.0,336.0,355.0,242.0,1134.0,166.0,394.0,374.0,358.0,275.0,494.0,600.0,202.0,76.0,177.0,149.0,213.0,164.0,146.0,107.0,171.0,138.0,136.0,86.0,108.0,73.0,85.0,109.0,74.0,136.0,56.0,128.0,78.0,129.0,67.0,105.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
